Race,Program,Horse,Surface,RaceType,Distance_yards,BrisRelated_dmrd,BrisRelated_sarm,EarlySpeed,HC_1stongrass,HC_ShipperToUS,IAucPri_keeA25,IJKYe_kta13,JCK_PY_WPS,KS_itmm_26,LastWOatTT,PPt12,ShowedLateSP_LR,StretchBL_LR26,Weight_LR,WinsatDist26,XBPPR_tc12_3,baseprob2,brisAW_c,eps4dalt_sard,iJCK_StrtCM,iworkoutpctrnk1_ckta13,lrclass_kma13,ltstr_sart,xBRISRunstyle_EP,xBRISSpeedAWc_keeod,xJCK_CMWPS26,xNumDaysSinceLRcut,xNumDaysSinceLRcut2,xNumEntLast5,xNumEntLast5cut,xPostPosition,xR309c,xdaysoff26,xdrfsp1m_sard,xsexcolt0425,xturffy_last5,xwrkdate_kaaw13,log_odds_s,predicted_s,log_odds_r,predicted_r,log_odds_hp,predicted_hp,log_odds_lp,predicted_lp,predicted_ensemble
5,11.000000,MR BOBO,T,S,1980,7.750000,4.750000,-1.380794,0,0,1.000000,0.250000,-0.058099,-0.022011,0,2.500000,0,-1.920000,5.214286,1.000000,661.077559,0.062500,0.030000,4.166869,0.564232,0.336371,-1.714286,1.811321,0.000000,6.000000,-0.133471,40.642857,40.642857,1.973810,1.973810,2.500000,-0.562500,10.880000,-4.571429,-2,0.937500,-22.000000,-2.798679,0.057396,-2.664128,0.065124,-2.193466,0.100339,-2.519242,0.074520,0.074345
5,12.000000,CULPER CODE,T,S,1980,0.000000,0.000000,-2.785714,1,0,1.000000,0.250000,-0.058179,-0.029749,1,3.500000,0,4.080000,-2.785714,1.000000,82.654073,0.062500,0.000000,2.028192,0.000000,0.920074,6.000000,0.301887,0.000000,0.000000,0.000000,-10.357143,-10.357143,-1.642857,-1.642857,3.500000,-0.562500,40.000000,-0.571429,3,-1.062500,16.000000,-4.436444,0.011699,-3.559871,0.027656,-2.995279,0.047640,-3.764079,0.022663,0.027415
5,13.000000,MAXIMUS PRIME,T,S,1980,10.000000,0.000000,0.819206,1,0,0.364964,0.250000,-0.009157,-0.129850,0,4.500000,0,5.580000,2.214286,1.000000,1251.137959,0.062500,0.030000,4.429593,0.000000,0.189209,6.000000,2.500000,0.000000,8.000000,0.000000,9.642857,9.642857,6.973810,6.973810,4.500000,-0.562500,-2.720000,0.428571,3,-5.062500,-40.000000,-2.836782,0.055369,-2.258974,0.094578,-2.999026,0.047470,-2.154484,0.103913,0.075332
5,14.000000,T V CHANNEL,T,S,1980,0.000000,0.000000,0.000000,0,0,1.000000,2.304239,0.067832,0.078820,0,5.000000,0,0.000000,0.000000,1.000000,441.000000,0.062500,0.000000,3.000000,2.015113,0.807291,0.000000,0.200000,0.000000,0.000000,0.092243,-100.000000,-200.000000,0.000000,0.000000,5.500000,2.437500,40.000000,0.000000,3,-0.062500,30.000000,-2.850225,0.054670,-2.126942,0.106506,-2.291055,0.091867,-2.131414,0.106081,0.089781
5,15.000000,TERRE HAUTE,T,S,1980,3.000000,0.000000,2.776190,0,0,1.000000,0.250000,-0.091326,-0.005215,0,5.000000,0,1.830000,-0.785714,1.000000,313.340573,0.062500,0.030000,3.418809,0.564232,0.888020,-0.714286,0.603774,0.000000,3.000000,-0.204900,-11.357143,-11.357143,0.773810,0.773810,6.500000,-0.562500,40.000000,3.428571,-2,-0.062500,-11.000000,-3.469326,0.030198,-3.424494,0.031539,-2.744140,0.060418,-3.177606,0.040017,0.040543
5,16.000000,LAHAINALUNA,T,S,1980,-1.000000,0.000000,0.448810,0,0,1.000000,2.448892,0.114165,0.062608,0,5.000000,0,-4.920000,5.214286,1.000000,891.704916,0.062500,-0.015000,3.493754,2.418136,1.032581,-0.714286,0.905660,0.000000,-1.000000,0.235576,-22.357143,-22.357143,-4.226190,-4.226190,7.500000,2.437500,40.000000,-5.571429,3,-1.062500,9.000000,-2.035382,0.115538,-1.769798,0.145567,-1.794391,0.142535,-1.923752,0.127444,0.132771
8,1.000000,MONTEREY BAY,T,A,1760,3.900000,3.900000,2.953993,0,0,1.425926,0.250000,-0.025067,0.143273,0,-5.000000,0,-0.316667,-1.133333,0.000000,678.081600,0.066667,0.000000,3.533086,0.336538,1.887530,1.066667,0.724138,-0.400000,0.000000,-0.138768,100.000000,136.466667,4.347619,4.347619,-7.000000,-0.266667,12.707692,1.800000,-2,6.200000,37.000000,-2.011319,0.118020,-2.267882,0.093818,-1.539996,0.176536,-1.901557,0.129932,0.129576
8,2.000000,ROCKY JOY,T,A,1760,3.488889,3.900000,1.553993,0,0,1.000000,0.250000,-0.113282,-0.250000,0,-5.000000,0,1.433333,-3.133333,3.000000,355.322500,0.066667,-0.015000,3.888523,0.576923,1.000000,0.066667,1.965517,-0.400000,2.666667,-0.198292,-24.533333,-24.533333,8.347619,8.347619,-6.000000,-0.266667,-6.492308,1.800000,-2,4.200000,-40.000000,-3.636070,0.025679,-2.676214,0.064392,-3.451055,0.030737,-2.510950,0.075094,0.048976
8,3.000000,LOVE'M OR LIAM,T,A,1760,1.333333,2.000000,-7.446007,0,0,0.799383,0.250000,-0.028984,0.026228,1,-5.000000,0,2.433333,-3.133333,0.000000,633.528900,0.066667,-0.015000,3.505881,0.865385,1.980742,0.066667,0.931034,-0.400000,-1.333333,-0.170514,-24.533333,-24.533333,-10.652381,-10.652381,-5.000000,-0.266667,-23.492308,6.800000,3,0.200000,7.000000,-2.688392,0.063662,-2.466870,0.078214,-3.119898,0.042294,-2.608538,0.068591,0.063190
8,4.000000,DR. PARK,T,A,1760,0.000000,0.000000,0.461714,1,0,3.000000,3.000000,0.127791,0.077082,0,-4.000000,0,1.433333,-3.133333,0.000000,564.062500,0.066667,0.000000,2.816059,2.500000,0.471883,5.066667,0.413793,-0.400000,0.000000,0.295298,-32.533333,-32.533333,-8.652381,-8.652381,-4.000000,-0.266667,40.000000,-0.200000,-2,-2.800000,2.000000,-2.886982,0.052801,-2.510306,0.075139,-1.953877,0.124131,-2.479343,0.077319,0.082348
